Hotel du Chateau	3 etoiles. Review : 8.1. URL : http://www.easytobook.com/en/france/paris/paris/hotel-du-chateau/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	13 &#44  rue du Chateau &#44  Neuilly sur Seine 92200 Paris France	48.88650	2.26180	hotels
Hotel des Academies et des Arts	3 etoiles. Review : 9.1. URL : http://www.easytobook.com/en/france/paris/paris/l-hotel-des-academies-et-des-arts/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	15 rue de la grande chaumiere 75006 Paris France	48.84200	2.33010	hotels
A la Villa Madame	4 etoiles. Review : 8.6. URL : http://www.easytobook.com/en/france/paris/paris/villa-madame/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	44 rue Madame 75006 Paris France	48.84880	2.33170	hotels
Hotel Duc De Saint Simon	4 etoiles. Review : 0. URL : http://www.easytobook.com/en/france/paris/paris/hotel-duc-de-saint-simon/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	14 Rue de Saint Simon 75007 Paris France	48.85610	2.32380	hotels
Hotel Opera Frochot	3 etoiles. Review : 8.2. URL : http://www.easytobook.com/en/france/paris/paris/hotel-atlanta-frochot-271445/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	4 &#44  Rue Frochot 75009 Paris France	48.88110	2.33770	hotels
The Five Hotel	3 etoiles. Review : 9.5. URL : http://www.easytobook.com/en/france/paris/paris/the-five/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	03 rue flatters 75005 Paris France	48.83770	2.34640	hotels
Hotel Du Prince Eugene	2 etoiles. Review : 8.3. URL : http://www.easytobook.com/en/france/paris/paris/hotel-du-prince-eugene/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	247 Boulevard Voltaire 75011 Paris France	48.85060	2.39230	hotels
Hotel Le Twelve	2 etoiles. Review : 7. URL : http://www.easytobook.com/en/france/paris/paris/hotel-de-france/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	82 avenue du Docteur Arnold Netter 75012 Paris France	48.84650	2.40610	hotels
Aston Hotel	3 etoiles. Review : 7.7. URL : http://www.easytobook.com/en/france/paris/paris/aston-hotel/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	12 cite bergere 75009 Paris France	48.87180	2.34470	hotels
Hotel Athenee	4 etoiles. Review : 7.9. URL : http://www.easytobook.com/en/france/paris/paris/hotel-plaza-athenee/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	19 &#44  rue Caumartin 75009 Paris France	48.87140	2.32810	hotels
Hotel Alyss Saphir Cambronne Eiffel	2 etoiles. Review : 8.7. URL : http://www.easytobook.com/en/france/paris/paris/hotel-alyss-saphir-cambronne-eiffel/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	62 rue de la Croix Nivert 75015 Paris France	48.84500	2.29730	hotels
Residence and Spa le Prince Regent	4 etoiles. Review : 8.9. URL : http://www.easytobook.com/en/france/paris/paris/residence-and-spa-le-prince-regent/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	28 rue monsieur le prince 75006 Paris France	48.84950	2.34010	hotels
Best Western Quartier Latin Pantheon	3 etoiles. Review : 7.2. URL : http://www.easytobook.com/en/france/paris/paris/best-western-quartier-latin-pantheon/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	71 Rue Monge 75005 Paris France	48.84360	2.35230	hotels
Best Western Opera Saint Lazare Hotel	3 etoiles. Review : 7.6. URL : http://www.easytobook.com/en/france/paris/paris/best-western-opera-saint-lazare-hotel/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	9 &#44  Rue de Constantinople 75008 Paris France	48.87970	2.32090	hotels
Best Western Tour Eiffel Invalides Hotel	3 etoiles. Review : 8.3. URL : http://www.easytobook.com/en/france/paris/paris/best-western-tour-eiffel-invalides-hotel/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	35 &#44  Boulevard de la tour Maubourg &#44 75007 Paris France	48.85930	2.31030	hotels
Hotel Timhotel Jardin des Plantes	2 etoiles. Review : 7.9. URL : http://www.easytobook.com/en/france/paris/paris/hotel-timhotel-quartier-latin-jardin-des-plantes/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	5 rue Linne 75005 Paris France	48.84390	2.35490	hotels
Hotel Timhotel Le Louvre	2 etoiles. Review : 8.2. URL : http://www.easytobook.com/en/france/paris/paris/hotel-timhotel-le-louvre/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	4 Rue Croix Des Petits Champs 75001 Paris France	48.86260	2.33940	hotels
Hotel Timhotel Palais Royal Louvre	2 etoiles. Review : 8.3. URL : http://www.easytobook.com/en/france/paris/paris/hotel-timhotel-palais-royal-louvre/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	3 &#44  Rue de la Banque 75002 Paris France	48.86650	2.34010	hotels
Hotel Timhotel Nation	2 etoiles. Review : 7.2. URL : http://www.easytobook.com/en/france/paris/paris/hotel-timhotel-nation/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	5-7 rue d Avron 75020 Paris France	48.85150	2.39900	hotels
Hotel Timhotel Saint Georges Pigalle	2 etoiles. Review : 7.5. URL : http://www.easytobook.com/en/france/paris/paris/hotel-timhotel-saint-george/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	21 boulevard de clichy 75009 Paris France	48.88230	2.33740	hotels
Timhotel Boulogne Rives de Seine	2 etoiles. Review : 7.2. URL : http://www.easytobook.com/en/france/paris/paris/timhotel-boulogne-rives-de-seine/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	251 Boulevard Jean Jaures &#44 Boulogne-Billancourt 92100 Paris France	48.82960	2.24580	hotels
Timhotel Clichy	3 etoiles. Review : 8.5. URL : http://www.easytobook.com/en/france/paris/paris/timhotel-clichy/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	14 &#44  Rue Dagobert 92110 Paris France	48.90290	2.30510	hotels
Timhotel Gaite Montparnasse	3 etoiles. Review : 8.5. URL : http://www.easytobook.com/en/france/paris/paris/timhotel-gaite-montparnasse/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	8 &#44  rue d'Odessa 75014 Paris France	48.84280	2.32440	hotels
